_id,BankAccount,Currency,CurrencyAmount,NumberOfItems,BoughtOrSold,ShopOwner,Buyer,Seller,WorldObjectItem,ItemUsed,Citizen,ActionLocation,Count,Time
"67e98d06daf4e101ebe5889c",1486697,112783,350.0,1.0,18,362211,1486689,362211,"StoreItem","ShipwrightSkillScroll",1486689,"818,71,771",7.0,186695
"67e98d08daf4e101ebe588cd",357001,112783,24.0,40.0,18,491731,356993,491731,"StoreItem","CeibaLogItem",356993,"1378,66,363",9.0,185228
"67e98d11daf4e101ebe58a46",483411,112783,2.200000048,1.0,18,111769,483390,111769,"StoreItem","CharredSausageItem",483390,"1393,76,1367",2.0,184153
"67e98d3fdaf4e101ebe58e87",791896,112783,1.75,1.0,18,552247,791888,552247,"StoreItem","CharredSausageItem",791888,"290,66,498",6.0,184918
"67e98d45daf4e101ebe58f3b",960591,112783,150.0,200.0,18,495855,960583,495855,"StoreItem","FiddleheadsItem",960583,"914,69,155",5.0,184708
"67e98d79daf4e101ebe59468",592604,112783,56.439998627,17.0,18,464974,592596,464974,"StoreItem","FernCampfireSaladItem",592596,"1398,73,576",2.0,185110
"67e98d8ddaf4e101ebe5968b",2918024,112783,162.0,81.0,18,483390,2918015,483390,"StoreItem","HewnLogItem",2918015,"1459,69,1252",24.0,187196
"67e98d98daf4e101ebe5973f",529375,112783,50.0,5.0,18,571511,525302,571511,"StoreItem","MetallurgyResearchPaperBasicItem",525302,"1291,69,708",5.0,186391
"67e98d99daf4e101ebe59759",510855,112783,4.5,1.0,18,1438477,510847,1438477,"StoreItem","RootCampfireSaladItem",510847,"602,71,767",3.0,184379
"67e98db0daf4e101ebe59983",512007,112783,94.300003052,1886.0,18,495855,483900,495855,"StoreItem","WoodPulpItem",483900,"914,69,155",4.0,184763
"67e98dcbdaf4e101ebe59c67",734604,112783,62.5,25.0,18,552247,734595,552247,"StoreItem","CampfireRoastItem",734595,"290,66,498",5.0,185010
"67e98dcedaf4e101ebe59caa",480963,112783,21.0,70.0,19,487523,487523,480956,"StoreItem","SandItem",480956,"1277,72,688",11.0,185479
"67e98e11daf4e101ebe5a2e9",480813,112783,180.0,2.0,18,664820,480805,664820,"StoreItem","GardenPondItem",480805,"636,73,778",3.0,184446
